height,timestamp_secs,energy,gas,tx_count
19900176,1716075695,44598,29571551,126
19900177,1716075707,31443,28348875,100
19900178,1716075719,4778,1074481,16
19900179,1716075731,71467,14327912,137
19900180,1716075743,178926,15403201,155
19900181,1716075755,25848,5101676,80
19900182,1716075767,68414,13617951,161
19900183,1716075779,40841,25282637,104
19900184,1716075791,38212,7991003,113
19900185,1716075803,82746,14675141,150
19900186,1716075815,27008,5267377,68
19900187,1716075827,70174,29998257,345
19900188,1716075839,6863,1028242,18
19900189,1716075851,169812,29990627,873
19900190,1716075863,59080,12270697,118
19900191,1716075875,61379,10667355,124
19900192,1716075887,82306,16898257,140
19900193,1716075899,69443,29995219,178
19900194,1716075911,154648,12374040,140
19900195,1716075923,48228,9888122,141
19900196,1716075935,51646,11127177,117
19900197,1716075947,42237,29988379,100
19900198,1716075959,48558,18087649,125
19900199,1716075971,9147,1765869,33
19900200,1716075983,8036,1653187,30
19900201,1716075995,139641,29989950,869
19900202,1716076007,69115,23301687,184
19900203,1716076019,163380,11680486,127
19900204,1716076031,18561,25200774,31
19900205,1716076043,132032,29999522,182
19900206,1716076055,39441,29464894,87
19900207,1716076067,29577,6350395,75
19900208,1716076079,36575,7150411,87
19900209,1716076091,41244,10145862,122
19900210,1716076103,41418,9577002,89
19900211,1716076115,114542,8315996,104
19900212,1716076127,5929,924446,22
19900213,1716076139,169174,29996326,103
19900214,1716076151,66174,20277129,196
19900215,1716076163,33032,5640641,97
19900216,1716076175,89317,22998863,197
19900217,1716076187,32767,7772305,86
19900218,1716076199,7306,985891,18
19900219,1716076211,165708,29851798,210
19900220,1716076223,186934,23131302,247
19900221,1716076235,31064,5651944,83
19900222,1716076259,96302,19068725,248
19900223,1716076271,46889,9360050,121
19900224,1716076283,61649,11564884,144
19900225,1716076295,50415,27212448,110
19900226,1716076307,39579,8148111,109
19900227,1716076319,42443,10249446,112
19900228,1716076331,49597,28302214,161
19900229,1716076343,25343,4880259,73
19900230,1716076355,41476,8110442,79
19900231,1716076367,64864,29986625,417
19900232,1716076379,189074,18141935,163
19900233,1716076391,33347,7691429,106
19900234,1716076403,63218,12524279,148
19900235,1716076415,41956,8445269,100
19900236,1716076427,60136,29997474,325
19900237,1716076439,65310,13011911,133
19900238,1716076451,47893,9762010,123
19900239,1716076463,4410,538473,16
19900240,1716076475,151090,29984544,1074
19900241,1716076487,99428,18875308,234
19900242,1716076499,160197,10088956,94
19900243,1716076511,42636,29987462,49
19900244,1716076523,56833,12747058,140
